Condition,mental,change,want_change,genes,punish,control,wrong,distress,common,control_med,control_hue,punish_mean,mental_mean
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,8.0,above median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,5.0,7.0,1.0,1.0,7.0,7.0,7.0,4.0,28.0,above median,above median,5.408713692946058,5.618257261410788
pedo,7.0,4.0,2.0,1.0,7.0,6.0,7.0,4.0,15.0,above median,above median,5.408713692946058,5.618257261410788
pedo,7.0,5.0,5.0,4.0,5.0,3.0,6.0,4.0,2.0,below median,above median,5.408713692946058,5.618257261410788
pedo,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,20.0,above median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,7.0,5.0,3.0,5.0,5.0,4.0,7.0,2.0,3.0,above median,above median,5.408713692946058,5.618257261410788
pedo,5.0,6.0,6.0,2.0,4.0,4.0,7.0,7.0,6.0,above median,above median,5.408713692946058,5.618257261410788
pedo,6.0,4.0,7.0,4.0,4.0,3.0,7.0,5.0,6.0,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,7.0,7.0,6.0,1.0,7.0,2.0,7.0,6.0,2.0,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,7.0,1.0,1.0,1.0,7.0,7.0,7.0,4.0,5.0,above median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,3.0,5.0,5.0,4.0,7.0,5.0,7.0,6.0,11.0,above median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,5.0,3.0,5.0,4.0,6.0,5.0,7.0,6.0,5.0,above median,above median,5.408713692946058,5.618257261410788
pedo,4.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,20.0,above median,above median,5.408713692946058,5.618257261410788
pedo,4.0,5.0,4.0,2.0,4.0,4.0,7.0,5.0,5.0,above median,above median,5.408713692946058,5.618257261410788
pedo,7.0,7.0,6.0,5.0,7.0,2.0,7.0,7.0,10.0,below median,above median,5.408713692946058,5.618257261410788
pedo,6.0,7.0,3.0,3.0,4.0,4.0,7.0,4.0,2.0,above median,above median,5.408713692946058,5.618257261410788
pedo,6.0,4.0,4.0,5.0,6.0,4.0,5.0,5.0,11.0,above median,above median,5.408713692946058,5.618257261410788
pedo,2.0,7.0,4.0,1.0,4.0,1.0,7.0,4.0,5.0,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,5.0,6.0,5.0,5.0,5.0,2.0,7.0,6.0,5.0,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,7.0,5.0,6.0,4.0,5.0,4.0,6.0,7.0,5.0,above median,above median,5.408713692946058,5.618257261410788
pedo,7.0,7.0,3.0,2.0,4.0,2.0,7.0,5.0,4.0,below median,above median,5.408713692946058,5.618257261410788
pedo,6.0,7.0,4.0,5.0,5.0,5.0,7.0,4.0,10.0,above median,above median,5.408713692946058,5.618257261410788
pedo,1.0,7.0,4.0,6.0,4.0,4.0,7.0,5.0,5.0,above median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,7.0,6.0,3.0,4.0,6.0,4.0,7.0,5.0,3.0,above median,above median,5.408713692946058,5.618257261410788
pedo,4.0,7.0,4.0,3.0,7.0,4.0,7.0,4.0,10.0,above median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,6.0,7.0,1.0,2.0,7.0,3.0,7.0,6.0,1.0,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,7.0,5.0,7.0,4.0,7.0,3.0,7.0,4.0,20.0,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,7.0,7.0,1.0,1.0,4.0,4.0,7.0,7.0,5.0,above median,above median,5.408713692946058,5.618257261410788
pedo,6.0,7.0,3.0,3.0,7.0,2.0,7.0,6.0,4.0,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,4.0,7.0,6.0,4.0,6.0,4.0,7.0,6.0,35.0,above median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,7.0,7.0,5.0,2.0,7.0,3.0,7.0,6.0,10.0,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,6.0,6.0,5.0,4.0,4.0,2.0,7.0,4.0,3.0,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,5.0,6.0,5.0,3.0,5.0,3.0,6.0,5.0,15.0,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,6.0,6.0,5.0,4.0,5.0,3.0,6.0,3.0,3.0,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,6.0,4.0,5.0,3.0,4.0,5.0,7.0,7.0,3.0,above median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,5.0,4.0,5.0,1.0,5.0,7.0,7.0,5.0,9.0,above median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,1.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,5.0,above median,above median,5.408713692946058,5.618257261410788
pedo,7.0,4.0,2.0,2.0,6.0,7.0,7.0,3.0,65.0,above median,above median,5.408713692946058,5.618257261410788
pedo,7.0,7.0,2.0,2.0,4.0,2.0,7.0,7.0,5.0,below median,above median,5.408713692946058,5.618257261410788
pedo,4.0,3.0,6.0,5.0,3.0,5.0,3.0,5.0,43.0,above median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
pedo,5.0,6.0,3.0,5.0,5.0,6.0,7.0,7.0,1.0,above median,above median,5.408713692946058,5.618257261410788
pedo,,,,,,,,,,below median,above median,5.408713692946058,5.618257261410788
