condition,mental illness,difficulty changing,desired change,genes,punishment,control,wrongness,internal distress,common,politics
pedophile,3,4,3,5,5,4,4,4,8,3
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
pedophile,5,7,1,1,7,7,7,4,28,4
pedophile,7,4,2,1,7,6,7,4,15,4
pedophile,7,5,5,4,5,3,6,4,2,2
pedophile,4,4,4,4,4,4,4,4,20,2
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
pedophile,7,5,3,5,5,4,7,2,3,5
pedophile,5,6,6,2,4,4,7,7,6,4
pedophile,6,4,7,4,4,3,7,5,6,2
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
pedophile,7,7,6,1,7,2,7,6,2,2
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
pedophile,7,1,1,1,7,7,7,4,5,1
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
pedophile,3,5,5,4,7,5,7,6,11,4
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
pedophile,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
pedophile,5,3,5,4,6,5,7,6,5,6
pedophile,4,4,4,4,6,4,6,6,20,3
