Condition,mental,change,want_change,genes,punish,control,wrong,distress,common
pedo,,,,,,,,,
pedo,3,4,3,5,5,4,4,4,8
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,5,7,1,1,7,7,7,4,28
pedo,7,4,2,1,7,6,7,4,15
pedo,7,5,5,4,5,3,6,4,2
pedo,4,4,4,4,4,4,4,4,20
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,5,3,5,5,4,7,2,3
pedo,5,6,6,2,4,4,7,7,6
pedo,6,4,7,4,4,3,7,5,6
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,6,1,7,2,7,6,2
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,1,1,1,7,7,7,4,5
pedo,,,,,,,,,
pedo,3,5,5,4,7,5,7,6,11
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,5,3,5,4,6,5,7,6,5
pedo,4,4,4,4,6,4,6,6,20
pedo,4,5,4,2,4,4,7,5,5
pedo,7,7,6,5,7,2,7,7,10
pedo,6,7,3,3,4,4,7,4,2
pedo,6,4,4,5,6,4,5,5,11
pedo,2,7,4,1,4,1,7,4,5
pedo,,,,,,,,,
pedo,5,6,5,5,5,2,7,6,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,5,6,4,5,4,6,7,5
pedo,7,7,3,2,4,2,7,5,4
pedo,6,7,4,5,5,5,7,4,10
pedo,1,7,4,6,4,4,7,5,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,6,3,4,6,4,7,5,3
pedo,4,7,4,3,7,4,7,4,10
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,6,7,1,2,7,3,7,6,1
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,5,7,4,7,3,7,4,20
pedo,,,,,,,,,
pedo,7,7,1,1,4,4,7,7,5
pedo,6,7,3,3,7,2,7,6,4
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,7,6,4,6,4,7,6,35
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,5,2,7,3,7,6,10
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,6,6,5,4,4,2,7,4,3
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,5,6,5,3,5,3,6,5,15
pedo,,,,,,,,,
pedo,6,6,5,4,5,3,6,3,3
pedo,,,,,,,,,
pedo,6,4,5,3,4,5,7,7,3
pedo,,,,,,,,,
pedo,5,4,5,1,5,7,7,5,9
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,1,4,4,4,4,4,7,4,5
pedo,7,4,2,2,6,7,7,3,65
pedo,7,7,2,2,4,2,7,7,5
pedo,4,3,6,5,3,5,3,5,43
pedo,,,,,,,,,
pedo,5,6,3,5,5,6,7,7,1
pedo,,,,,,,,,
pedo,4,5,5,3,4,3,6,4,7
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,5,4,3,4,2,1,4,15
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,7,1,2,7,3,7,3,20
pedo,7,7,5,1,7,4,7,7,10
pedo,,,,,,,,,
pedo,7,7,5,4,4,3,7,4,10
pedo,6,6,5,1,4,5,7,6,10
pedo,,,,,,,,,
pedo,7,7,5,4,7,5,7,5,10
pedo,,,,,,,,,
pedo,3,7,6,2,4,5,7,4,10
pedo,,,,,,,,,
pedo,7,7,7,4,4,4,7,7,1
pedo,4,6,4,2,5,2,7,6,10
pedo,4,7,1,1,7,7,7,3,3
pedo,6,7,4,4,6,2,7,6,19
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,6,5,5,1,6,5,7,5,8
pedo,,,,,,,,,
pedo,7,4,6,5,7,3,7,6,7
pedo,,,,,,,,,
pedo,1,2,1,1,7,6,7,2,19
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,7,5,4,4,1,5,6,1
pedo,7,6,5,6,5,4,7,4,4
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,5,4,7,5,7,4,25
pedo,6,7,3,1,7,2,7,6,40
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,4,7,1,2,4,1,7,3,12
pedo,,,,,,,,,
pedo,6,6,2,2,4,4,6,2,1
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,1,2,7,4,7,4,2
pedo,,,,,,,,,
pedo,4,7,5,2,7,5,7,6,12
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,2,5,6,1,4,5,7,5,4
pedo,7,1,1,1,7,7,7,1,13
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,1,1,7,7,7,7,2
pedo,4,6,6,3,4,2,7,5,3
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,6,6,3,4,6,4,6,4,2
pedo,7,7,7,4,4,4,7,5,2
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,7,4,4,3,7,7,1
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,7,4,1,7,7,7,7,5
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,,,,,,,,,
pedo,7,2,3,1,7,7,7,7,35
pedo,7,4,4,2,7,6,7,7,5
